SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,438,20,79,315,13,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,80,1.2,6.8,25,0.5,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,237,6,29,115,3,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,582,30,114,443,21,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9nc(*)oc9c8)cc7)c7ccccc7-c7ccccc76)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,59.5,1.02,6.2,23.3,0.62,https://doi.org/10.1039/D0RA00145G,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C(c6ccc(Oc7ccc8nc(*)oc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,64.5,1.98,10.7,27,1.35,https://doi.org/10.1021/ma102878z,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C(c6ccc(Oc7ccc8nc(*)oc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,51.2,1.52,5.6,22.5,0.8,https://doi.org/10.1021/ma102878z,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C(c6ccc(Oc7ccc8nc(*)oc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,95.3,1.89,10,41.4,1.45,https://doi.org/10.1021/ma102878z,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C(c6ccc(Oc7ccc8nc(*)oc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,158.1,5.5,23.1,118.6,3.9,https://doi.org/10.1021/ma102878z,
*c1cccc(C(c2cccc(-c3nc4ccc(Oc5ccc(C(c6ccc(Oc7ccc8nc(*)oc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,439,20,88.5,485.8,17,https://doi.org/10.1021/ma102878z,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,408,19,81,398,12,http://dx.doi.org/10.1016/j.memsci.2016.07.058,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6nc(-c7ccc(C(c8ccc(-c9nc%10cc(C(c%11ccc%12nc(*)oc%12c%11)(C(F)(F)F)C(F)(F)F)ccc%10o9)cc8)(C(F)(F)F)C(F)(F)F)cc7)oc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,60.9,0.9,,23.6,0.33,https://dx.doi.org/10.1021/jp307365y,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6nc(-c7ccc(C(c8ccc(-c9nc%10cc(C(c%11ccc%12nc(*)oc%12c%11)(C(F)(F)F)C(F)(F)F)ccc%10o9)cc8)(C(F)(F)F)C(F)(F)F)cc7)oc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,372,11.6,59.8,297,4.9,https://dx.doi.org/10.1021/jp307365y,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6nc(-c7ccc(C(c8ccc(-c9nc%10cc(C(c%11ccc%12nc(*)oc%12c%11)(C(F)(F)F)C(F)(F)F)ccc%10o9)cc8)(C(F)(F)F)C(F)(F)F)cc7)oc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,2856,155,778,3575,80.8,https://dx.doi.org/10.1021/jp307365y,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6nc(-c7ccc(C(c8ccc(-c9nc%10cc(C(c%11ccc%12nc(*)oc%12c%11)(C(F)(F)F)C(F)(F)F)ccc%10o9)cc8)(C(F)(F)F)C(F)(F)F)cc7)oc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,3612,431,1306,5569,252,https://dx.doi.org/10.1021/jp307365y,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6nc(-c7ccc(C(c8ccc(-c9nc%10cc(C(c%11ccc%12nc(*)oc%12c%11)(C(F)(F)F)C(F)(F)F)ccc%10o9)cc8)(C(F)(F)F)C(F)(F)F)cc7)oc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,408,19,81,398,12,https://dx.doi.org/10.1021/jp307365y,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,102,2.11,10.5,41.1,0.76,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,291,12.9,48.2,178,5.8,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,1665,154,474,1993,115,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,188,5.3,25.8,112,3.2,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,55,0.62,3.9,17,0.26,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,115,2.7,13,58,1.5,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,,155,4.5,21,95,3.03,http://dx.doi.org/10.1016/j.memsci.2015.06.032,
